CITY,SCRAPE,ID,URL
Amethi,N,4545,https://cricheroes.in/past-matches/4545/Amethi
Amgaon,N,2733,https://cricheroes.in/past-matches/2733/Amgaon
Amguri,N,597,https://cricheroes.in/past-matches/597/Amguri
Aminagar Sarai,N,4548,https://cricheroes.in/past-matches/4548/Aminagar%20Sarai
Ammapettai,N,3575,https://cricheroes.in/past-matches/3575/Ammapettai
Ammur,N,3577,https://cricheroes.in/past-matches/3577/Ammur
Amod,N,1066,https://cricheroes.in/past-matches/1066/Amod
Amravati,N,2734,https://cricheroes.in/past-matches/2734/Amravati
Amreli,N,30,https://cricheroes.in/past-matches/30/Amreli
Amritsar,N,3374,https://cricheroes.in/past-matches/3374/Amritsar
Amritsar Cantonment,N,3375,https://cricheroes.in/past-matches/3375/Amritsar%20Cantonment
Amroha,N,4551,https://cricheroes.in/past-matches/4551/Amroha
Amsterdam (North Holland),N,20086,https://cricheroes.in/past-matches/20086/Amsterdam%20(North%20Holland)
Amtala,N,5319,https://cricheroes.in/past-matches/5319/Amtala
Anakapalle,N,297,https://cricheroes.in/past-matches/297/Anakapalle
Anand,N,11,https://cricheroes.in/past-matches/11/Anand
Anand Nagar,N,598,https://cricheroes.in/past-matches/598/Anand%20Nagar
Anandapur,N,3206,https://cricheroes.in/past-matches/3206/Anandapur
Anantapur,N,298,https://cricheroes.in/past-matches/298/Anantapur
Ananthapuram,N,3581,https://cricheroes.in/past-matches/3581/Ananthapuram
Anantnag,N,1515,https://cricheroes.in/past-matches/1515/Anantnag
Anekal,N,1767,https://cricheroes.in/past-matches/1767/Anekal
Anjar,N,1067,https://cricheroes.in/past-matches/1067/Anjar
Anjugramam,N,3585,https://cricheroes.in/past-matches/3585/Anjugramam
Anklav,N,1068,https://cricheroes.in/past-matches/1068/Anklav
Ankleshvar,N,21,https://cricheroes.in/past-matches/21/Ankleshvar
Annigeri,N,1769,https://cricheroes.in/past-matches/1769/Annigeri
Annur,N,3588,https://cricheroes.in/past-matches/3588/Annur
Anoka,N,8402,https://cricheroes.in/past-matches/8402/Anoka
Anpara,N,4553,https://cricheroes.in/past-matches/4553/Anpara
Anuppur,N,2327,https://cricheroes.in/past-matches/2327/Anuppur
Anupshahr,N,4555,https://cricheroes.in/past-matches/4555/Anupshahr
Aonla,N,4556,https://cricheroes.in/past-matches/4556/Aonla
Ara (Bihar),N,728,https://cricheroes.in/past-matches/728/Ara%20(Bihar)
Ara (Jharkhand),N,1593,https://cricheroes.in/past-matches/1593/Ara%20(Jharkhand)
Arakonam,N,3593,https://cricheroes.in/past-matches/3593/Arakonam
Arambagh,N,5324,https://cricheroes.in/past-matches/5324/Arambagh
Arang,N,878,https://cricheroes.in/past-matches/878/Arang
Araria,N,729,https://cricheroes.in/past-matches/729/Araria
Ariyalur,N,3603,https://cricheroes.in/past-matches/3603/Ariyalur
Ariyur,N,3605,https://cricheroes.in/past-matches/3605/Ariyur
Arsha,N,5326,https://cricheroes.in/past-matches/5326/Arsha
Arsikere,N,1771,https://cricheroes.in/past-matches/1771/Arsikere
Arulmigu Thirumuruganpundi,N,3607,https://cricheroes.in/past-matches/3607/Arulmigu%20Thirumuruganpundi
Arumuganeri,N,3610,https://cricheroes.in/past-matches/3610/Arumuganeri
Arwal,N,20050,https://cricheroes.in/past-matches/20050/Arwal
Asadabad,N,19368,https://cricheroes.in/past-matches/19368/Asadabad
Asan Khurd,N,1338,https://cricheroes.in/past-matches/1338/Asan%20Khurd
Asandh,N,1339,https://cricheroes.in/past-matches/1339/Asandh
Asansol,N,5327,https://cricheroes.in/past-matches/5327/Asansol
Ashoknagar,N,2329,https://cricheroes.in/past-matches/2329/Ashoknagar
Ashoknagar Kalyangarh,N,5328,https://cricheroes.in/past-matches/5328/Ashoknagar%20Kalyangarh
Ashta (Madhya Pradesh),N,2330,https://cricheroes.in/past-matches/2330/Ashta%20(Madhya%20Pradesh)
Asind,N,41,https://cricheroes.in/past-matches/41/Asind
Atasu,N,4561,https://cricheroes.in/past-matches/4561/Atasu
Athipattu,N,3616,https://cricheroes.in/past-matches/3616/Athipattu
Athur,N,3617,https://cricheroes.in/past-matches/3617/Athur
Atlanta,N,7076,https://cricheroes.in/past-matches/7076/Atlanta
Atmakur,N,300,https://cricheroes.in/past-matches/300/Atmakur
Attingal,N,2094,https://cricheroes.in/past-matches/2094/Attingal
Atul,N,1072,https://cricheroes.in/past-matches/1072/Atul
Auraiya,N,4564,https://cricheroes.in/past-matches/4564/Auraiya
Aurangabad (Bihar),N,732,https://cricheroes.in/past-matches/732/Aurangabad%20(Bihar)
Aurangabad (Maharashtra),N,2739,https://cricheroes.in/past-matches/2739/Aurangabad%20(Maharashtra)
Aurangabad (West Bengal),N,5329,https://cricheroes.in/past-matches/5329/Aurangabad%20(West%20Bengal)
Aurangabad Cantonment,N,2740,https://cricheroes.in/past-matches/2740/Aurangabad%20Cantonment
Austin (Texas),N,9427,https://cricheroes.in/past-matches/9427/Austin%20(Texas)
Avadi,N,3622,https://cricheroes.in/past-matches/3622/Avadi
